STATION,STATION_NAME,DATE,HPCP
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000101 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000101 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000101 05:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000101 13:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 09:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 10:00,2.79
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 11:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 12:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000104 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000108 20:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 04:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 05:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 10:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 12:00,0.76
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 13:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 14:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 16:00,2.54
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 17:00,1.52
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 18:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 19:00,3.56
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 20:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 21:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 22:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000109 23:00,3.05
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000110 00:00,2.03
